Zonas de movilidad;Periodo;Total
Huelva;13/12/2020;9,82
Huelva;9/12/2020;15,68
Huelva;6/12/2020;7,66
Huelva;2/12/2020;15,17
Huelva;29/11/2020;6,64
Huelva;25/11/2020;14,10
Huelva;22/11/2020;7,17
Huelva;18/11/2020;14,69
Huelva;15/11/2020;6,62
Huelva;11/11/2020;14,61
Huelva;8/11/2020;8,51
Huelva;4/11/2020;15,48
Huelva;1/11/2020;10,30
Huelva;28/10/2020;16,06
Huelva;25/10/2020;10,50
Huelva;21/10/2020;16,12
Huelva;18/10/2020;10,91
Huelva;14/10/2020;16,62
Huelva;11/10/2020;12,01
Huelva;7/10/2020;17,02
Huelva;4/10/2020;10,64
Huelva;30/9/2020;15,65
Huelva;27/9/2020;10,35
Huelva;23/9/2020;18,33
Huelva;20/9/2020;11,87
Huelva;16/9/2020;18,76
Huelva;13/9/2020;12,20
Huelva;9/9/2020;18,02
Huelva;6/9/2020;12,70
Huelva;2/9/2020;17,44
Huelva;30/8/2020;12,65
Huelva;26/8/2020;16,94
Huelva;23/8/2020;11,40
Huelva;19/8/2020;16,99
Huelva;16/8/2020;12,48
Huelva;12/8/2020;17,18
Huelva;9/8/2020;13,26
Huelva;5/8/2020;17,29
Huelva;2/8/2020;12,78
Huelva;29/7/2020;17,56
Huelva;26/7/2020;13,19
Huelva;22/7/2020;17,43
Huelva;19/7/2020;12,79
Huelva;15/7/2020;18,54
Huelva;12/7/2020;13,26
Huelva;8/7/2020;18,31
Huelva;5/7/2020;13,44
Huelva;1/7/2020;18,51
Huelva;28/6/2020;13,18
Huelva;24/6/2020;18,49
Huelva;20/6/2020;15,41
Huelva;19/6/2020;17,85
Huelva;18/6/2020;18,05
Huelva;17/6/2020;17,66
Huelva;16/6/2020;17,52
Huelva;15/6/2020;17,99
Huelva;14/6/2020;12,67
Huelva;13/6/2020;14,86
Huelva;12/6/2020;16,57
Huelva;11/6/2020;17,61
Huelva;10/6/2020;17,50
Huelva;9/6/2020;15,60
Huelva;8/6/2020;16,03
Huelva;7/6/2020;11,19
Huelva;6/6/2020;14,08
Huelva;5/6/2020;16,57
Huelva;4/6/2020;15,93
Huelva;3/6/2020;16,27
Huelva;2/6/2020;16,47
Huelva;1/6/2020;16,05
Huelva;31/5/2020;10,86
Huelva;30/5/2020;14,28
Huelva;29/5/2020;16,68
Huelva;28/5/2020;16,94
Huelva;27/5/2020;16,82
Huelva;26/5/2020;16,54
Huelva;25/5/2020;16,20
Huelva;24/5/2020;10,51
Huelva;23/5/2020;12,53
Huelva;22/5/2020;15,37
Huelva;21/5/2020;15,36
Huelva;20/5/2020;15,36
Huelva;19/5/2020;15,19
Huelva;18/5/2020;14,57
Huelva;17/5/2020;9,47
Huelva;16/5/2020;11,15
Huelva;15/5/2020;13,39
Huelva;14/5/2020;13,12
Huelva;13/5/2020;14,23
Huelva;12/5/2020;14,14
Huelva;11/5/2020;13,58
Huelva;10/5/2020;6,98
Huelva;9/5/2020;7,58
Huelva;8/5/2020;12,90
Huelva;7/5/2020;12,92
Huelva;6/5/2020;12,81
Huelva;5/5/2020;12,92
Huelva;4/5/2020;12,51
Huelva;3/5/2020;7,28
Huelva;2/5/2020;8,29
Huelva;1/5/2020;8,05
Huelva;30/4/2020;11,48
Huelva;29/4/2020;11,59
Huelva;28/4/2020;11,28
Huelva;27/4/2020;9,36
Huelva;26/4/2020;5,65
Huelva;25/4/2020;7,05
Huelva;24/4/2020;10,11
Huelva;23/4/2020;10,10
Huelva;22/4/2020;10,40
Huelva;21/4/2020;9,79
Huelva;20/4/2020;10,24
Huelva;19/4/2020;5,92
Huelva;18/4/2020;7,77
Huelva;17/4/2020;10,09
Huelva;16/4/2020;10,52
Huelva;15/4/2020;9,83
Huelva;14/4/2020;9,63
Huelva;13/4/2020;10,67
Huelva;12/4/2020;6,45
Huelva;11/4/2020;7,80
Huelva;10/4/2020;6,96
Huelva;9/4/2020;7,55
Huelva;8/4/2020;10,00
Huelva;7/4/2020;9,99
Huelva;6/4/2020;9,35
Huelva;5/4/2020;5,85
Huelva;4/4/2020;7,23
Huelva;3/4/2020;9,71
Huelva;2/4/2020;8,79
Huelva;1/4/2020;8,72
Huelva;31/3/2020;9,01
Huelva;30/3/2020;10,08
Huelva;28/3/2020;7,98
Huelva;26/3/2020;10,86
Huelva;24/3/2020;11,08
Huelva;22/3/2020;5,51
Huelva;20/3/2020;10,03
Huelva;18/3/2020;10,46
Huelva;16/3/2020;11,43
Huelva;18/11/2019;21,79
Jaén;30/12/2020;15,07
Jaén;27/12/2020;12,86
Jaén;23/12/2020;16,40
Jaén;20/12/2020;9,39
Jaén;16/12/2020;16,32
Jaén;13/12/2020;11,58
Jaén;9/12/2020;14,37
Jaén;6/12/2020;8,72
Jaén;2/12/2020;15,57
Jaén;29/11/2020;8,05
Jaén;25/11/2020;13,10
Jaén;22/11/2020;8,65
Jaén;18/11/2020;14,59
Jaén;15/11/2020;7,20
Jaén;11/11/2020;13,80
Jaén;8/11/2020;6,80
Jaén;4/11/2020;13,03
Jaén;1/11/2020;7,01
Jaén;28/10/2020;14,20
Jaén;25/10/2020;10,36
Jaén;21/10/2020;14,32
Jaén;18/10/2020;10,17
Jaén;14/10/2020;14,81
Jaén;11/10/2020;11,70
Jaén;7/10/2020;15,25
Jaén;4/10/2020;10,22
Jaén;30/9/2020;13,68
Jaén;27/9/2020;9,28
Jaén;23/9/2020;15,31
Jaén;20/9/2020;10,52
Jaén;16/9/2020;15,06
Jaén;13/9/2020;10,72
Jaén;9/9/2020;14,95
Jaén;6/9/2020;10,87
Jaén;2/9/2020;14,53
Jaén;30/8/2020;10,86
Jaén;26/8/2020;13,79
Jaén;23/8/2020;9,62
Jaén;19/8/2020;13,78
Jaén;16/8/2020;10,76
Jaén;12/8/2020;13,89
Jaén;9/8/2020;10,57
Jaén;5/8/2020;10,10
Jaén;2/8/2020;7,74
Jaén;29/7/2020;12,02
Jaén;26/7/2020;11,00
Jaén;22/7/2020;14,67
Jaén;19/7/2020;11,24
Jaén;15/7/2020;15,22
Jaén;12/7/2020;11,47
Jaén;8/7/2020;15,25
Jaén;5/7/2020;11,82
Jaén;1/7/2020;15,24
Jaén;28/6/2020;11,68
Jaén;24/6/2020;14,67
Jaén;20/6/2020;12,99
Jaén;19/6/2020;14,58
Jaén;18/6/2020;14,49
Jaén;17/6/2020;14,21
Jaén;16/6/2020;14,15
Jaén;15/6/2020;14,47
Jaén;14/6/2020;11,30
Jaén;13/6/2020;12,89
Jaén;12/6/2020;12,98
Jaén;11/6/2020;13,55
Jaén;10/6/2020;14,45
Jaén;9/6/2020;12,45
Jaén;8/6/2020;13,21
Jaén;7/6/2020;9,77
Jaén;6/6/2020;12,25
Jaén;5/6/2020;13,29
Jaén;4/6/2020;13,22
Jaén;3/6/2020;13,25
Jaén;2/6/2020;13,05
Jaén;1/6/2020;12,54
Jaén;31/5/2020;9,47
Jaén;30/5/2020;11,16
Jaén;29/5/2020;12,59
Jaén;28/5/2020;12,84
Jaén;27/5/2020;12,62
Jaén;26/5/2020;12,38
Jaén;25/5/2020;12,66
Jaén;24/5/2020;8,82
Jaén;23/5/2020;10,33
Jaén;22/5/2020;11,70
Jaén;21/5/2020;11,87
Jaén;20/5/2020;11,78
Jaén;19/5/2020;11,67
Jaén;18/5/2020;11,33
Jaén;17/5/2020;7,20
Jaén;16/5/2020;8,66
Jaén;15/5/2020;10,59
Jaén;14/5/2020;10,65
Jaén;13/5/2020;10,68
Jaén;12/5/2020;10,12
Jaén;11/5/2020;10,37
Jaén;10/5/2020;4,86
Jaén;9/5/2020;5,98
Jaén;8/5/2020;9,77
Jaén;7/5/2020;9,66
Jaén;6/5/2020;9,80
Jaén;5/5/2020;9,91
Jaén;4/5/2020;9,37
Jaén;3/5/2020;5,66
Jaén;2/5/2020;6,42
Jaén;1/5/2020;6,13
Jaén;30/4/2020;8,89
Jaén;29/4/2020;8,81
Jaén;28/4/2020;8,15
Jaén;27/4/2020;8,07
Jaén;26/4/2020;4,17
Jaén;25/4/2020;5,52
Jaén;24/4/2020;8,57
Jaén;23/4/2020;8,53
Jaén;22/4/2020;8,71
Jaén;21/4/2020;7,60
Jaén;20/4/2020;7,87
Jaén;19/4/2020;4,56
Jaén;18/4/2020;6,10
Jaén;17/4/2020;8,10
Jaén;16/4/2020;8,80
Jaén;15/4/2020;7,53
Jaén;14/4/2020;8,51
Jaén;13/4/2020;7,72
Jaén;12/4/2020;5,04
Jaén;11/4/2020;5,74
Jaén;10/4/2020;4,54
Jaén;9/4/2020;5,93
Jaén;8/4/2020;7,50
Jaén;7/4/2020;7,38
Jaén;6/4/2020;7,36
Jaén;5/4/2020;4,93
Jaén;4/4/2020;5,63
Jaén;3/4/2020;6,83
Jaén;2/4/2020;6,43
Jaén;1/4/2020;6,30
Jaén;31/3/2020;6,45
Jaén;30/3/2020;7,19
Jaén;28/3/2020;6,18
Jaén;26/3/2020;8,12
